datum,novi_pozitivni,vkupno_novi,izleceni,vkupno_izleceni,pocinati,vkupno_pocinati,active
2020-02-26,1,1,0,0,0,0,1
2020-02-27,0,1,0,0,0,0,1
2020-02-28,0,1,0,0,0,0,1
2020-02-29,0,1,0,0,0,0,1
2020-03-01,0,1,0,0,0,0,1
2020-03-02,0,1,0,0,0,0,1
2020-03-03,0,1,0,0,0,0,1
2020-03-04,0,1,0,0,0,0,1
2020-03-05,0,1,0,0,0,0,1
2020-03-06,2,3,0,0,0,0,3
2020-03-07,0,3,0,0,0,0,3
2020-03-08,1,4,0,0,0,0,4
2020-03-09,3,7,0,0,0,0,7
2020-03-10,0,7,0,0,0,0,7
2020-03-11,1,8,0,0,0,0,8
2020-03-12,0,8,0,0,0,0,8
2020-03-13,4,12,0,0,0,0,12
2020-03-14,6,18,0,0,0,0,18
2020-03-15,0,18,0,0,0,0,18
2020-03-16,5,23,0,0,0,0,23
2020-03-17,8,31,1,1,0,0,30
2020-03-18,11,42,0,1,0,0,41
2020-03-19,6,48,0,1,0,0,47
2020-03-20,28,76,0,1,0,0,75
2020-03-21,9,85,0,1,0,0,84
2020-03-22,29,114,0,1,1,1,112
2020-03-23,22,136,0,1,1,2,133
2020-03-24,12,148,0,1,0,2,145
2020-03-25,29,177,0,1,1,3,173
2020-03-26,24,201,2,3,0,3,195
2020-03-27,18,219,0,3,0,3,213
2020-03-28,22,241,0,3,1,4,234
